"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"1","PGEN_.00g295020",670.087854496878,-13.573057307638,2.01801564929225,-6.72594254281344,1.74459401198968e-11,7.16330301322963e-08,140,1139,7360,30,139,17,51,1465,26,39,54,108,7832,58,48,32,69,1239,26,77,86,13,54,23,54,8,725,1328,296,0,1031,183,79,1,110,78,FALSE,TRUE
"2","PGEN_.00g186570",13.515715187106,-4.05851706942229,0.955586550492054,-4.24714754234712,2.16509387650523e-05,0.00555617216058156,16,18,80,5,8,14,11,5,12,3,6,11,49,2,6,6,19,9,9,9,2,12,11,8,20,6,18,14,16,13,24,29,7,9,9,4,FALSE,TRUE
"3","PGEN_.00g156050",12.8323400320746,3.07699740346041,0.689395365066061,4.46332766273466,8.06965064122131e-06,0.00301218050298679,10,28,10,21,16,10,12,8,11,12,26,39,6,21,5,13,7,8,26,17,16,7,12,18,13,9,0,5,15,12,3,10,14,23,4,13,TRUE,FALSE
"4","PGEN_.00g205860",33.7803290551948,3.53717173907834,0.932342255885825,3.7938554396182,0.00014832604984178,0.0196068877226823,19,58,13,74,22,22,29,17,23,49,33,54,19,25,85,20,44,6,23,14,12,7,12,44,53,19,26,25,35,99,20,11,52,47,4,52,TRUE,FALSE
"5","PGEN_.00g285590",18.5618786226285,3.4399428156332,0.965386873633093,3.5632790434445,0.000366250990102002,0.0380893468958248,18,35,27,17,43,25,6,11,42,34,48,42,5,10,16,30,21,13,27,20,15,4,2,6,13,18,11,2,9,46,4,3,19,11,1,12,TRUE,FALSE
"6","PGEN_.00g199810",87.4389908665397,2.81119010903936,0.812247124168516,3.46100346236021,0.000538165890506766,0.0470150882217187,187,167,190,124,332,90,29,96,121,122,128,153,31,65,32,122,49,66,158,85,82,13,30,50,38,57,40,25,50,140,22,31,140,49,10,66,TRUE,FALSE
"7","PGEN_.00g066160",9.34912093822491,-2.56290219266743,0.747872054102161,-3.42692600774374,0.00061045538548689,0.0490958723220459,2,8,8,9,5,3,15,18,21,7,2,4,11,4,3,9,17,12,10,13,12,7,18,11,2,4,8,8,14,7,14,12,5,14,21,6,FALSE,TRUE
"8","PGEN_.00g348220",56.9780214414175,2.64975688152867,0.768313377048578,3.44879701523293,0.00056308981724551,0.0482037548021864,107,124,64,47,71,60,33,42,94,83,91,85,9,46,30,99,48,39,97,59,41,12,32,40,29,72,27,20,57,150,22,17,114,43,8,61,TRUE,FALSE
"9","PGEN_.00g093430",17.1692489658091,-4.68629987595024,1.31536462459253,-3.56273826156906,0.000367006554298074,0.0380893468958248,13,24,12,7,4,8,17,45,6,7,0,32,43,6,0,0,45,37,0,7,14,3,52,11,14,8,20,34,22,5,14,40,24,5,55,10,FALSE,TRUE
"10","PGEN_.00g035820",21.899053031666,3.09291007253283,0.842946969145256,3.66916328754231,0.000243345617987062,0.029387561983967,38,34,54,35,45,32,25,22,15,53,63,30,4,12,5,38,12,15,38,16,16,6,7,9,7,31,15,4,15,28,7,4,31,16,2,16,TRUE,FALSE
"11","PGEN_.00g238060",60.8829843306444,2.72491865516447,0.759277808157868,3.58882957711561,0.000332165883365775,0.0358913978184176,80,166,62,62,98,95,37,51,123,76,91,140,13,58,40,88,64,38,117,75,40,16,24,23,71,36,26,13,39,144,19,20,82,47,10,45,TRUE,FALSE
"12","PGEN_.00g103630",10.431204922882,3.73773274197487,1.05663556922388,3.53739061114544,0.00040410154015039,0.0380893468958248,5,25,21,6,21,9,5,14,14,18,35,9,0,4,9,8,2,7,27,4,5,3,6,5,13,15,11,2,5,27,0,2,10,10,2,13,TRUE,FALSE
"13","PGEN_.00g315910",41.3931741658159,-1.96240403743948,0.528090226834599,-3.7160393010911,0.000202370118258794,0.0255671294021725,35,48,24,33,41,25,82,72,56,35,22,20,52,45,24,26,61,72,12,37,20,31,49,24,80,46,29,72,66,52,52,69,15,25,65,38,FALSE,TRUE
"14","PGEN_.00g130390",70.1217288864327,-7.42422749844393,1.69156435478596,-4.38897135508826,1.13888067536456e-05,0.00374099524243751,11,103,44,12,49,6,45,708,13,6,15,43,838,20,39,9,75,25,14,4,9,5,22,11,23,18,43,52,36,21,138,9,11,7,17,14,FALSE,TRUE
"15","PGEN_.00g333460",21.7484972560174,-6.81989262773739,1.0356441118924,-6.58517008828021,4.54364935305695e-11,1.24374828291012e-07,11,52,22,1,4,12,18,118,26,5,3,12,31,11,9,4,35,58,4,25,27,16,25,5,11,2,39,56,22,2,37,23,6,2,31,7,FALSE,TRUE
"16","PGEN_.00g302300",61.2479744446676,-0.974652712384705,0.284874178006959,-3.42134453604601,0.000623123385806724,0.0490958723220459,69,61,116,69,53,43,81,63,72,76,50,58,65,76,27,50,70,71,45,59,39,55,82,54,90,33,40,67,94,63,75,123,57,70,71,37,FALSE,TRUE
"17","PGEN_.00g086610",27.3954606107903,3.10038250379811,0.757372708492268,4.09360209185536,4.24722939427201e-05,0.00871956194644044,48,65,46,30,66,60,11,26,36,92,50,45,5,20,14,33,9,15,33,29,16,7,9,19,14,46,10,8,18,47,5,19,35,9,6,13,TRUE,FALSE
"18","PGEN_.00g027970",64.2673402921305,3.3373308258747,0.743124591492362,4.49094386605157,7.09082390223749e-06,0.00291149229425871,73,122,55,71,62,78,28,39,80,83,128,158,12,53,29,101,38,58,103,49,47,11,44,49,54,84,33,37,64,182,15,22,141,60,12,72,TRUE,FALSE
"19","PGEN_.00g238430",197.034538062606,-1.02719116967932,0.284640396372956,-3.60873292325457,0.000307696178826769,0.0346137126099373,302,229,240,139,240,240,277,260,283,165,224,172,199,189,67,126,330,218,181,229,109,237,239,140,258,171,56,171,249,229,226,382,172,223,238,138,FALSE,TRUE
"20","PGEN_.00g092270",98.4024108881846,-6.08224543681215,1.09351691925843,-5.56209540949474,2.66554484073867e-08,2.43216158134955e-05,232,185,52,54,32,26,109,334,56,10,30,57,365,49,36,12,87,199,18,89,38,50,73,72,48,7,226,287,60,27,126,79,36,21,120,85,FALSE,TRUE
"21","PGEN_.00g098060",9.91372553254104,-3.56281713282299,0.918583652026309,-3.87859845422216,0.000105060006339426,0.0165913994626802,8,12,2,3,5,1,12,36,21,7,3,13,7,8,1,2,8,16,5,4,5,11,17,3,17,2,18,19,14,7,17,19,16,3,12,10,FALSE,TRUE
"22","PGEN_.00g298760",71.3152928548847,-1.15982113063646,0.338926341607228,-3.42204481698428,0.000621520680158144,0.0490958723220459,68,63,85,65,74,76,113,84,74,53,72,46,100,94,27,58,109,71,48,74,35,55,92,69,77,53,48,85,86,51,107,121,77,99,129,48,FALSE,TRUE
"23","PGEN_.00g169480",35.9298741913929,3.51772908746443,0.852936894829378,4.12425480570649,3.71936969275607e-05,0.00868747313860514,94,36,73,11,113,63,24,29,54,81,90,65,7,29,28,58,12,27,62,41,39,9,12,13,15,29,7,11,20,52,12,9,39,19,1,21,TRUE,FALSE
"24","PGEN_.00g272710",67.9716746332842,2.84309396970888,0.782006054810169,3.63564188821919,0.000277289318251433,0.0320718293166305,63,155,74,86,195,115,54,64,117,101,204,99,14,55,24,93,33,48,129,84,52,20,17,40,19,70,42,24,36,101,12,27,98,62,19,37,TRUE,FALSE
"25","PGEN_.00g114780",17.7856064186146,-5.86054436641451,1.33528537639725,-4.38898266243798,1.13882146909431e-05,0.00374099524243751,14,35,97,6,17,10,23,32,6,5,6,14,48,5,4,4,17,26,3,6,11,7,2,7,15,2,65,44,12,2,11,20,7,0,8,7,FALSE,TRUE
"26","PGEN_.00g279100",14.6010223158372,4.04461689872459,0.873297628489096,4.63143007238235,3.63148651341396e-06,0.00165676484711975,13,21,13,9,18,13,4,5,26,16,29,21,8,19,7,39,15,7,40,15,23,0,4,11,16,9,5,3,12,35,4,6,18,13,2,22,TRUE,FALSE
"27","PGEN_.00g344990",13.0018763854899,4.16216900213096,1.04562693931709,3.98054874604637,6.87563630250406e-05,0.0122811046301587,14,10,20,9,76,25,5,18,14,17,24,29,4,3,8,25,5,2,27,6,11,2,2,3,7,13,10,10,12,22,0,8,10,6,0,9,TRUE,FALSE
"28","PGEN_.00g155650",258.968145589762,-7.40304493087803,1.74079342195519,-4.25268434353527,2.11223212327755e-05,0.00555617216058156,86,238,4444,53,160,47,59,162,40,42,26,43,1854,49,178,34,97,58,42,65,248,20,64,69,42,23,177,744,40,37,26,139,58,30,36,36,FALSE,TRUE
"29","PGEN_.00g055380",35.7867439046002,-1.38232250208244,0.350764319843787,-3.94088686870448,8.11809088067446e-05,0.013605257614714,31,43,54,23,27,28,38,59,28,41,44,39,31,43,10,27,63,34,20,42,16,45,77,42,51,32,20,45,49,30,43,79,34,35,46,17,FALSE,TRUE
"30","PGEN_.00g057590",32.8507910405825,-2.84614963922479,0.812665130351123,-3.50224161579946,0.000461361030457282,0.0425696267653393,13,73,43,36,21,17,57,22,18,14,44,66,31,11,10,18,15,64,11,22,10,81,101,16,18,16,7,58,58,47,59,134,40,19,19,9,FALSE,TRUE
"31","PGEN_.00g050060",50.5068418262812,-1.81606360045569,0.49942486199021,-3.63630996105934,0.000276571511129145,0.0320718293166305,44,50,87,32,63,66,67,133,67,40,46,55,37,61,12,21,60,36,44,46,25,66,54,33,56,34,5,76,69,43,82,160,49,36,110,23,FALSE,TRUE
"32","PGEN_.00g311890",106.506188389571,-1.29137156086279,0.340674537371555,-3.79063128940088,0.000150264879013767,0.0196068877226823,78,109,208,69,96,84,161,221,137,128,96,93,102,153,36,64,163,111,65,88,74,142,148,87,132,114,42,125,144,94,107,209,126,85,147,62,FALSE,TRUE
"33","PGEN_.00g330100",40.4524796982755,-7.71694089952346,1.67163628484817,-4.61639949399901,3.90454984917364e-06,0.00168758754533757,12,12,22,5,6,27,10,548,30,26,12,5,21,6,6,0,4,32,7,32,9,32,29,16,9,0,15,115,13,13,14,7,5,7,430,20,FALSE,TRUE
"34","PGEN_.00g286180",23.785058486996,-5.19403532812735,1.44489018962067,-3.59476129427589,0.000324689135720889,0.0358913978184176,14,3,15,13,10,3,10,33,15,19,16,13,18,16,3,1,185,18,23,8,4,25,6,30,5,1,0,153,28,21,14,276,4,2,17,6,FALSE,TRUE
"35","PGEN_.00g164540",43.347443631969,3.74146872686254,0.988809746289159,3.7838105266495,0.000154445417212194,0.0198172775960397,14,47,75,34,298,155,22,49,36,37,61,71,16,30,17,49,16,13,86,63,46,5,24,10,14,39,16,16,32,37,7,28,91,34,8,5,TRUE,FALSE
"36","PGEN_.00g001420",50.1008408547169,1.39618711921369,0.394618409362422,3.53806889412352,0.000403064876488074,0.0380893468958248,29,64,32,51,35,61,54,20,35,61,48,52,36,85,34,67,53,34,64,44,34,49,62,114,74,34,18,39,78,76,53,60,67,40,62,57,TRUE,FALSE
"37","PGEN_.00g174160",20.8360979998752,1.63553151870749,0.472001962866694,3.465094739806,0.00053004471987679,0.0470150882217187,10,12,15,19,12,21,22,27,9,28,23,19,7,46,9,21,27,22,39,25,19,24,20,39,29,15,10,16,27,45,17,18,18,41,24,15,TRUE,FALSE
"38","PGEN_.00g347800",8.95031923975493,2.32924016710027,0.608342834978208,3.82882814290679,0.000128754874388672,0.0188809826514246,0,8,5,11,7,9,16,9,5,17,12,11,2,26,7,11,6,4,9,8,6,9,11,11,15,11,0,8,13,15,8,10,14,11,12,7,TRUE,FALSE
"39","PGEN_.00g266130",101.92984132237,-12.4453116609063,1.97111114900403,-6.31385585089644,2.7216746642305e-10,5.58759808566521e-07,45,117,281,15,2,16,36,377,6,6,9,8,697,17,6,4,16,114,7,10,5,7,13,23,14,0,45,1778,10,2,49,33,14,0,21,30,FALSE,TRUE
"40","PGEN_.00g164660",47.7519880810918,3.9311323595292,1.08037409239825,3.63867699826339,0.00027404225200714,0.0320718293166305,14,49,84,31,374,156,23,50,44,42,64,71,16,30,25,51,16,14,96,67,48,5,26,9,17,44,17,18,34,40,7,29,93,39,7,7,TRUE,FALSE
"41","PGEN_.00g329260",23.9161691557147,3.41963978848832,0.929326907790351,3.67969522868885,0.000233512862874666,0.0286210094018919,24,94,10,32,11,67,7,19,23,39,27,61,6,21,12,47,21,14,25,18,29,6,4,13,36,20,9,5,18,31,4,21,26,18,3,36,TRUE,FALSE
"42","PGEN_.00g204830",15.4712677059865,3.17144582692232,0.891684308661305,3.55669130444119,0.000375555023549283,0.0380893468958248,17,23,15,9,40,15,5,16,34,14,24,49,6,16,14,31,14,7,15,11,25,5,4,13,4,15,3,11,21,41,3,7,14,8,2,7,TRUE,FALSE
"43","PGEN_.00g215970",381.426964959282,-1.24908027989006,0.303531627019274,-4.1151569349007,3.8691607506282e-05,0.00868747313860514,359,348,805,280,355,320,411,645,352,336,360,372,480,453,176,207,482,295,245,400,177,426,520,366,501,284,221,584,598,326,400,628,427,377,586,363,FALSE,TRUE
"44","PGEN_.00g046720",133.047508528134,3.53277441846146,0.87093394414842,4.05630581078767,4.98549754910528e-05,0.00952114090075641,134,191,147,99,373,122,43,144,129,156,216,256,37,65,106,305,74,85,196,95,208,24,40,53,49,150,84,47,160,206,42,96,327,84,16,111,TRUE,FALSE
"45","PGEN_.00g327660",521.950133597385,5.61398434720766,1.29424651714579,4.33764686467012,1.44016299854483e-05,0.00422379233716075,93,217,33,695,43,693,492,38,812,476,682,355,22,1990,515,773,564,54,509,96,168,111,412,304,871,343,155,98,685,1515,18,320,2893,823,62,1415,TRUE,FALSE
"46","PGEN_.00g211250",14.8851263559635,3.27729466359395,0.862835282679114,3.79828540786825,0.000145700495694027,0.0196068877226823,18,21,12,11,34,8,9,13,16,18,23,22,10,6,24,31,8,10,15,16,14,6,3,5,8,22,8,9,8,35,6,7,28,11,2,16,TRUE,FALSE
"47","PGEN_.00g082950",24.7058817203036,-2.17112549120315,0.600230532177951,-3.61715270185468,0.000297861594562676,0.0339727696465097,26,25,17,18,22,23,41,53,41,13,11,33,10,23,9,16,53,20,7,25,5,35,40,22,44,18,4,29,43,18,33,97,29,29,42,12,FALSE,TRUE
"48","PGEN_.00g033950",75.9552371601658,-1.32040712954424,0.367608978181148,-3.59187943688792,0.000328301734642516,0.0358913978184176,59,84,90,53,84,67,109,145,81,56,84,51,63,86,31,51,101,84,41,84,59,125,88,76,104,54,22,106,94,79,93,229,88,68,104,44,FALSE,TRUE
"49","PGEN_.00g039480",12.8754968600904,4.04693438738841,0.825938556169284,4.89980078682627,9.59338773832534e-07,0.000562720715050912,14,16,22,18,20,13,8,8,24,23,23,31,2,15,13,21,2,3,24,13,4,4,7,9,6,13,4,0,15,35,5,4,27,13,4,10,TRUE,FALSE
"50","PGEN_.00g118430",11.8435175305197,3.58343366693115,1.00948340026305,3.54976977927262,0.00038556817762225,0.0380893468958248,21,17,20,10,84,12,5,7,26,5,35,16,2,8,11,11,3,6,26,6,7,5,5,6,2,10,3,3,11,13,3,2,12,11,3,4,TRUE,FALSE
"51","PGEN_.00g113600",11.4760036007225,2.58684426180503,0.731833018857197,3.53474658173329,0.000408166406092618,0.0380893468958248,9,7,9,17,5,7,14,8,15,16,3,20,5,37,19,9,11,10,10,11,17,3,8,11,18,4,5,6,11,22,5,6,21,11,11,11,TRUE,FALSE
"52","PGEN_.00g169390",77.3483270044776,1.92833049977085,0.559164155236401,3.44859462415935,0.000563511989894045,0.0482037548021864,45,87,64,52,111,45,66,85,58,84,85,73,25,119,148,70,52,91,104,106,74,42,92,153,110,55,18,74,121,49,31,66,99,74,51,98,TRUE,FALSE
"53","PGEN_.00g119160",33.3844984050532,2.63761289621588,0.695347378903047,3.79323051505116,0.000148699995666607,0.0196068877226823,70,50,39,43,56,54,14,33,51,33,79,51,11,19,16,61,27,37,44,39,43,12,23,36,28,18,9,12,28,55,12,10,64,23,5,18,TRUE,FALSE
